Section,Field,Value
Vision Analysis,Product Name,Images
Vision Analysis,Category,General Merchandise
Vision Analysis,Type,Consumer Product
Vision Analysis,Brand,BrandX
Vision Analysis,Material,Mixed Materials
Vision Analysis,Primary Color,White
Vision Analysis,Secondary Colors,"Black, Grey"
Vision Analysis,Dimensions,"{'length': '20 cm', 'width': '15 cm', 'height': '10 cm'}"
Vision Analysis,Weight,"{'value': 400, 'unit': 'grams'}"
Vision Analysis,Key Features,Durable construction | Ergonomic design | Universal compatibility | Compact and lightweight | 1-year warranty
Vision Analysis,Confidence Score,0.91
Listing,SEO Title,Images – Consumer Product | White | BrandX | Best Quality
Listing,Description,"Introducing the Images by BrandX — crafted from Mixed Materials for premium quality and lasting durability. This consumer product is designed for everyday use, combining style and functionality seamlessly. Featuring durable construction, ergonomic design, and universal compatibility, it stands out in the general merchandise category. Available in White with Black and Grey accents. Lightweight, compact, and built to last — perfect for daily use, gifting, or personal upgrade. Backed by BrandX's quality promise and 1-year warranty. Order now and experience the difference."
Listing,Bullet Points,✅ Made from Mixed Materials for premium durability | ✅ Durable construction | ✅ Ergonomic design | ✅ Universal compatibility | ✅ Backed by 1-year warranty from BrandX
Listing,SEO Keywords,"buy Images, Images online, best consumer product, BrandX product, White product, premium general merchandise, product under ₹999, top rated product, mixed materials product, product India"
Listing,Marketplace Category,General > Products
Listing,Search Tags,"product, quality, BrandX, daily use, durable, lightweight, compact, value, premium, best buy"
Packaging,Type,Corrugated Box with Bubble Wrap
Packaging,Box Size,"{'length': '25 cm', 'width': '20 cm', 'height': '15 cm'}"
Packaging,Protective Materials,Bubble wrap | Foam inserts | Silica gel sachet
Packaging,Shipping Recommendations,"{'carrier': 'BlueDart / Delhivery / Shiprocket', 'mode': 'Surface for domestic, Air for international', 'fragile_label': True, 'estimated_shipping_weight': '600 grams (with packaging)'}"
Compliance,BIS Requirement,"{'required': False, 'certificate': 'N/A', 'notes': 'Verify based on product type'}"
Compliance,FSSAI Requirement,"{'required': False, 'notes': 'Not applicable for non-food products'}"
Compliance,Barcode Requirement,"{'required': True, 'type': 'EAN-13 or UPC-A', 'notes': 'Register with GS1 India for a genuine barcode'}"
Compliance,MRP Label,"{'required': True, 'fields': ['MRP (incl. all taxes)', 'Manufacturer name & address', 'Country of origin', 'Customer care number', 'Month & Year of manufacture']}"
Compliance,Product Label Info,"{'generic_name': 'Images', 'net_quantity': '1 Unit', 'country_of_origin': 'India', 'customer_care': '1800-XXX-XXXX'}"
Pricing,Low Price,"{'amount': 499, 'currency': 'INR', 'label': 'Budget / Entry'}"
Pricing,Recommended Price,"{'amount': 999, 'currency': 'INR', 'label': 'Optimal Margin'}"
Pricing,Premium Price,"{'amount': 1799, 'currency': 'INR', 'label': 'Premium / Brand'}"
Pricing,Pricing Analysis,"{'cost_of_goods': '~₹300', 'recommended_margin': '~60%', 'break_even_units': 50, 'notes': 'Recommended price offers best conversion vs. margin balance on Amazon & Flipkart for General Merchandise'}"
Competitor Analysis,Avg Market Price,"₹700 – ₹1,400"
Competitor Analysis,Competitor Count,100+ active listings
Competitor Analysis,Suggested Improvements,Add high-quality lifestyle images | Include user manual | Bundle with accessories | Highlight warranty prominently
Competitor Analysis,Market Position,Mid-range with room to grow into premium segment
Marketing,Instagram Post,"✨ Meet your new favourite! 🔥

Introducing the Images — durable construction & ergonomic design. 💯

Available now on Amazon & Flipkart!

#NewLaunch #Product #BrandX #MustHave #ShopNow #IndianBrand"
Marketing,Facebook Post,"🎉 Exciting Launch Alert!

We're proud to introduce the Images — Consumer Product built for quality and comfort.

🔑 Key Highlights:
• Durable construction
• Ergonomic design
• Universal compatibility

🛒 Shop now on Amazon & Flipkart
📦 Fast delivery across India
💯 1-Year Warranty

Tag someone who needs this! 👇"
Marketing,WhatsApp Promotion,"🛍️ *New Launch Alert!*

*Images* is now LIVE!

✅ Durable construction
✅ Ergonomic design
✅ Best Price: ₹999

👉 Use code *LAUNCH10* for 10% OFF
_Limited stock — Order now!_ 🔥"
Marketing,Email Campaign,"Subject: 🚀 Just Launched: Images — Exclusive Offer Inside!

Hi [Customer Name],

We're excited to introduce the Images — our latest consumer product from BrandX.

Here's why you'll love it:
• Durable construction
• Ergonomic design
• Universal compatibility

🎁 Exclusive launch offer: 15% OFF with code VIPEARLY15
⏰ Offer valid for 48 hours only.

👉 [Shop Now]

Warm regards,
The BrandX Team"
